
============================================================
ABLATION COMPLETE — Summary
============================================================

Target     Excluded   Type     Acc          Drop
------------------------------------------------
2          1          High     0.6111    -0.0243
2          3          High     0.5312    +0.0555
2          4          Low      0.5451    +0.0417
2          5          Low      0.5868    -0.0000
2          6          Low      0.5972    -0.0104
2          7          High     0.5278    +0.0590
2          8          High     0.5278    +0.0590
2          9          High     0.5451    +0.0417

4          1          High     0.6562    -0.0486
4          2          Low      0.6389    -0.0313
4          3          High     0.6493    -0.0417
4          5          Low      0.6701    -0.0625
4          6          Low      0.6528    -0.0452
4          7          High     0.6007    +0.0069
4          8          High     0.6007    +0.0069
4          9          High     0.6007    +0.0069

5          1          High     0.7083    -0.0277
5          2          Low      0.7257    -0.0451
5          3          High     0.6910    -0.0104
5          4          Low      0.7778    -0.0972
5          6          Low      0.6979    -0.0173
5          7          High     0.6215    +0.0591
5          8          High     0.7049    -0.0243
5          9          High     0.6424    +0.0382

6          1          High     0.5660    -0.0521
6          2          Low      0.5938    -0.0798
6          3          High     0.6250    -0.1111
6          4          Low      0.6493    -0.1354
6          5          Low      0.5347    -0.0208
6          7          High     0.6111    -0.0972
6          8          High     0.5660    -0.0521
6          9          High     0.5590    -0.0451

